Tournament,Title,Cluster
Athens Debate Academy 2025,Grand Final,7
Athens Debate Academy 2025,Round 4,7
Athens Debate Academy 2025,Round 3,9
Athens Debate Academy 2025,Round 2,2
Athens Debate Academy 2025,Round 1,5
Auckland IV 2024,Novice Finals,9
Auckland IV 2024,Grand Final,9
Auckland IV 2024,Semifinals,9
Auckland IV 2024,Round 5,3
Auckland IV 2024,Round 4,9
Auckland IV 2024,Round 3,2
Auckland IV 2024,Round 2,8
Auckland IV 2024,Round 1,7
Australian BPDC 2024,Grand Final,2
Australian BPDC 2024,Semifinals,3
Australian BPDC 2024,Quarterfinals,9
Australian BPDC 2024,Round 6,9
Australian BPDC 2024,Round 5,8
Australian BPDC 2024,Round 4,6
Australian BPDC 2024,Round 3,9
Australian BPDC 2024,Round 2,8
Australian BPDC 2024,Round 1,9
AWGMDC 2024,Grand Final,0
AWGMDC 2024,Semifinals,3
AWGMDC 2024,Quarterfinals,0
AWGMDC 2024,Round 6,7
AWGMDC 2024,Round 5,9
AWGMDC 2024,Round 4,5
AWGMDC 2024,Round 3,4
AWGMDC 2024,Round 2,8
AWGMDC 2024,Round 1,8
Baltic BP Open 2023,Pro-Am Final,5
Baltic BP Open 2023,Silver Final,0
Baltic BP Open 2023,Gold Final,8
Baltic BP Open 2023,Round 4,3
Baltic BP Open 2023,Round 3,8
Baltic BP Open 2023,Round 2,0
Baltic BP Open 2023,Round 1,7
Bates Pro-Am 2021,Novice Finals,-1
Bates Pro-Am 2021,Grand Final,-1
Bates Pro-Am 2021,Semifinals,3
Bates Pro-Am 2021,Quarterfinals,7
Bates Pro-Am 2021,Round 5,9
Bates Pro-Am 2021,Round 4,6
Bates Pro-Am 2021,Round 3,-1
Bates Pro-Am 2021,Round 2,2
Bates Pro-Am 2021,Round 1,3
BDIDF Bangladesh 2021,Round 1,7
BDIDF Bangladesh 2021,Round 2,6
BDIDF Bangladesh 2021,Round 3,9
BDIDF Bangladesh 2021,Grand Final,2
BDIDF International Final 2021,OIC Finals,7
BDIDF International Final 2021,Grand Final,2
BDIDF International Final 2021,Semifinals,1
BDIDF International Final 2021,Round 3,2
BDIDF International Final 2021,Round 2,7
BDIDF International Final 2021,Round 1,9
BDIDF Pacific 2021,Grand Final,7
BDIDF Pacific 2021,Round 3,0
BDIDF Pacific 2021,Round 2,9
BDIDF Pacific 2021,Round 1,6
BDIDF Western 2021,Round 3,3
BDIDF Western 2021,Round 2,7
BDIDF Western 2021,Round 1,8
Beijing International DO 2025,School Finals,8
Beijing International DO 2025,Novice Finals,7
Beijing International DO 2025,Grand Final,3
Beijing International DO 2025,Semifinals,0
Beijing International DO 2025,Pre-Semi Final,6
Beijing International DO 2025,Round 5,9
Beijing International DO 2025,Round 4,2
Beijing International DO 2025,Round 3,6
Beijing International DO 2025,Round 2,8
Beijing International DO 2025,Round 1,3
Belgrade Open 2022,Novice Final,-1
Belgrade Open 2022,Grand Final,-1
Belgrade Open 2022,Semifinals,-1
Belgrade Open 2022,Round 5,8
Belgrade Open 2022,Round 4,0
Belgrade Open 2022,Round 3,0
Belgrade Open 2022,Round 2,5
Belgrade Open 2022,Round 1,9
Belgrade Open 2023,Grand Final,8
Belgrade Open 2023,Semifinals,0
Belgrade Open 2023,Round 5,0
Belgrade Open 2023,Round 4,8
Belgrade Open 2023,Round 3,2
Belgrade Open 2023,Round 2,9
Belgrade Open 2023,Round 1,8
Belgrade Open 2024,Novice Finals,3
Belgrade Open 2024,Grand Final,0
Belgrade Open 2024,Semifinals,9
Belgrade Open 2024,Round 5,2
Belgrade Open 2024,Round 4,4
Belgrade Open 2024,Round 3,0
Belgrade Open 2024,Round 2,7
Belgrade Open 2024,Round 1,8
Berkeley IV 2024,Grand Final,8
Berkeley IV 2024,Novice Finals,9
Berkeley IV 2024,Semifinals,6
Berkeley IV 2024,Quarterfinals,0
Berkeley IV 2024,Round 5,9
Berkeley IV 2024,Round 4,2
Berkeley IV 2024,Round 3,-1
Berkeley IV 2024,Round 2,9
Berkeley IV 2024,Round 1,5
Berkeley IV 2025,Open Finals,6
Berkeley IV 2025,Open Semifinals,9
Berkeley IV 2025,Novice Finals,0
Berkeley IV 2025,Open Quarters,8
Berkeley IV 2025,Round 5,6
Berkeley IV 2025,Round 4,8
Berkeley IV 2025,Round 3,0
Berkeley IV 2025,Round 2,7
Berkeley IV 2025,Round 1,8
Berlin IV 2020,Pro Am Final,9
Berlin IV 2020,Grand Final,7
Berlin IV 2020,Semifinals,9
Berlin IV 2020,Quarterfinals,4
Berlin IV 2020,Round 5,7
Berlin IV 2020,Round 4,0
Berlin IV 2020,Round 3,9
Berlin IV 2020,Round 2,3
Berlin IV 2020,Round 1,9
Big Bois Open I 2022,Big Bois Finals,7
Big Bois Open I 2022,Littol bois Finals,9
Big Bois Open I 2022,Big Bois Semi Finals,7
Big Bois Open I 2022,Round 5,2
Big Bois Open I 2022,Round 4,5
Big Bois Open I 2022,Round 3,8
Big Bois Open I 2022,Round 2,7
Big Bois Open I 2022,Round 1,4
Birmingham Pro-Am 2025,Grand Final,8
Birmingham Pro-Am 2025,Silver Finals,8
Birmingham Pro-Am 2025,Bronze Finals,8
Birmingham Pro-Am 2025,Round 5,0
Birmingham Pro-Am 2025,Round 4,2
Birmingham Pro-Am 2025,Round 3,1
Birmingham Pro-Am 2025,Round 2,4
Birmingham Pro-Am 2025,Round 1,6
BITS Pilani PD 2021,Novice Finals,0
BITS Pilani PD 2021,Novice Semifinals,4
BITS Pilani PD 2021,Grand Final,2
BITS Pilani PD 2021,Semifinals,9
BITS Pilani PD 2021,Quarterfinals,2
BITS Pilani PD 2021,Round 4,7
BITS Pilani PD 2021,Round 3,0
BITS Pilani PD 2021,Round 2,4
BITS Pilani PD 2021,Round 1,5
BITS Pilani PD 2022,Open Grand Final,7
BITS Pilani PD 2022,Novice Final,8
BITS Pilani PD 2022,Open Semi Finals,8
BITS Pilani PD 2022,Round 4,7
BITS Pilani PD 2022,Round 3,7
BITS Pilani PD 2022,Round 2,7
BITS Pilani PD 2022,Round 1,5
BITS Pilani PD 2024,Open Grand Final,-1
BITS Pilani PD 2024,Novice Finals,-1
BITS Pilani PD 2024,Open Semifinals,9
BITS Pilani PD 2024,Novice Semifinals,3
BITS Pilani PD 2024,Open Quarterfinals,9
BITS Pilani PD 2024,Round 5,7
BITS Pilani PD 2024,Round 4,5
BITS Pilani PD 2024,Round 3,9
BITS Pilani PD 2024,Round 2,2
BITS Pilani PD 2024,Round 1,5
Bogwall Novices 2023,Non Schools Final,0
Bogwall Novices 2023,Grand Final,0
Bogwall Novices 2023,Semifinals,7
Bogwall Novices 2023,Round 4,3
Bogwall Novices 2023,Round 3,8
Bogwall Novices 2023,Round 2,9
Bogwall Novices 2023,Round 1,8
BRAC Genders 2021,Bronze Finals,2
BRAC Genders 2021,Silver Finals,2
BRAC Genders 2021,Gold Finals,2
BRAC Genders 2021,Round 4,0
BRAC Genders 2021,Round 3,8
BRAC Genders 2021,Round 2,2
BRAC Genders 2021,Round 1,7
BRAC Open 2024,High School Finals,8
BRAC Open 2024,Grand Final,8
BRAC Open 2024,Semifinals,9
BRAC Open 2024,Round 4,9
BRAC Open 2024,Round 3,2
BRAC Open 2024,Round 2,1
BRAC Open 2024,Round 1,2
Bristol Open 2024,Grand Final,8
Bristol Open 2024,Pro-Am Final,9
Bristol Open 2024,Round 5,5
Bristol Open 2024,Round 4,9
Bristol Open 2024,Round 3,1
Bristol Open 2024,Round 2,8
Bristol Open 2024,Round 1,4
Bristol Open 2025,Bronze Finals,2
Bristol Open 2025,Silver Finals,8
Bristol Open 2025,Grand Final,3
Bristol Open 2025,Round 5,6
Bristol Open 2025,Round 4,0
Bristol Open 2025,Round 3,2
Bristol Open 2025,Round 2,2
Bristol Open 2025,Round 1,8
Bristol Pro-Am 2023,Round 1,5
Bristol Pro-Am 2023,Round 2,0
Bristol Pro-Am 2023,Round 3,9
Bristol Pro-Am 2023,Round 4,6
Bristol Pro-Am 2023,Grand Final,2
Bristol Pro-Am 2023,Silver Finals,8
Bristol Pro-Am 2023,Bronze Finals,8
Bristol Pro-Am 2024,Grand Final,0
Bristol Pro-Am 2024,Silver Final,7
Bristol Pro-Am 2024,Bronze Final,5
Bristol Pro-Am 2024,Round 5,0
Bristol Pro-Am 2024,Round 4,9
Bristol Pro-Am 2024,Round 3,2
Bristol Pro-Am 2024,Round 2,2
Bristol Pro-Am 2024,Round 1,3
Budapest Open 2023,Open Grand Final,8
Budapest Open 2023,Open Semifinal,9
Budapest Open 2023,Novice Final,4
Budapest Open 2023,Round 5,0
Budapest Open 2023,Round 4,7
Budapest Open 2023,Round 3,0
Budapest Open 2023,Round 2,8
Budapest Open 2023,Round 1,3
Budapest Open 2024,Grand Final,0
Budapest Open 2024,Novice final,8
Budapest Open 2024,Semifinals,0
Budapest Open 2024,Round 5,7
Budapest Open 2024,Round 4,0
Budapest Open 2024,Round 3,9
Budapest Open 2024,Round 2,4
Budapest Open 2024,Round 1,2
Bulacan IV 2023,Novice Finals,8
Bulacan IV 2023,Novice Semifinals,1
Bulacan IV 2023,Grand Final,3
Bulacan IV 2023,Semifinals,-1
Bulacan IV 2023,Quarterfinals,9
Bulacan IV 2023,Round 5,7
Bulacan IV 2023,Round 4,0
Bulacan IV 2023,Round 3,2
Bulacan IV 2023,Round 2,8
Bulacan IV 2023,Round 1,8
Cambridge ABP North Asia 2024,Grand Final,3
Cambridge ABP North Asia 2024,Semifinals,8
Cambridge ABP North Asia 2024,Round 5,7
Cambridge ABP North Asia 2024,Round 4,4
Cambridge ABP North Asia 2024,Round 3,7
Cambridge ABP North Asia 2024,Round 2,6
Cambridge ABP North Asia 2024,Round 1,8
Cambridge IV 2022,Grand Final,7
Cambridge IV 2022,Semifinals,9
Cambridge IV 2022,Quarterfinals,7
Cambridge IV 2022,ESL Finals,8
Cambridge IV 2022,ESL Semifinals,2
Cambridge IV 2022,Round 5,3
Cambridge IV 2022,Round 4,9
Cambridge IV 2022,Round 3,0
Cambridge IV 2022,Round 2,2
Cambridge IV 2022,Round 1,6
Cambridge IV 2023,ESL Finals,8
Cambridge IV 2023,Grand Final,4
Cambridge IV 2023,Semifinals,0
Cambridge IV 2023,Round 5,9
Cambridge IV 2023,Round 4,7
Cambridge IV 2023,Round 3,8
Cambridge IV 2023,Round 2,7
Cambridge IV 2023,Round 1,2
Cambridge IV 2024,Grand Final,0
Cambridge IV 2024,ESL Final,8
Cambridge IV 2024,Semifinals,2
Cambridge IV 2024,Novice Final,8
Cambridge IV 2024,Quarterfinals,6
Cambridge IV 2024,Round 5,9
Cambridge IV 2024,Round 4,5
Cambridge IV 2024,Round 3,3
Cambridge IV 2024,Round 2,7
Cambridge IV 2024,Round 1,7
Cambridge Mini 2024,Gold Final,0
Cambridge Mini 2024,Silver Finals,4
Cambridge Mini 2024,Round 4,8
Cambridge Mini 2024,Round 3,0
Cambridge Mini 2024,Round 2,8
Cambridge Mini 2024,Round 1,3
Cambridge Schools Finals Day 2025,State Finals,4
Cambridge Schools Finals Day 2025,Grand Final,8
Cambridge Schools Finals Day 2025,Semifinals,4
Cambridge Schools Finals Day 2025,Round 4,2
Cambridge Schools Finals Day 2025,Round 3,0
Cambridge Schools Finals Day 2025,Round 2,5
Cambridge Schools Finals Day 2025,Round 1,7
Cambridge WGM 2023,Grand Final,8
Cambridge WGM 2023,Round 4,6
Cambridge WGM 2023,Round 3,8
Cambridge WGM 2023,Round 2,5
Cambridge WGM 2023,Round 1,7
Campeonato Catarinense 2023,Grande Final,7
Campeonato Catarinense 2023,Semifinais,8
Campeonato Catarinense 2023,Final de Iniciados,8
Campeonato Catarinense 2023,Final Schools,-1
Campeonato Catarinense 2023,Rodada 5,0
Campeonato Catarinense 2023,Rodada 4,9
Campeonato Catarinense 2023,Rodada 3,-1
Campeonato Catarinense 2023,Rodada 2,8
Campeonato Catarinense 2023,Rodada 1,1
Canada BP Champs 2022,Grand Final,8
Canada BP Champs 2022,Novice Finals,-1
Canada BP Champs 2022,Semifinals,-1
Canada BP Champs 2022,Round 5,8
Canada BP Champs 2022,Round 4,4
Canada BP Champs 2022,Round 3,1
Canada BP Champs 2022,Round 2,8
Canada BP Champs 2022,Round 1,7
Canada BP Champs 2023,Grand Final,0
Canada BP Champs 2023,Novice Finals,0
Canada BP Champs 2023,Semifinals,7
Canada BP Champs 2023,Round 5,4
Canada BP Champs 2023,Round 4,7
Canada BP Champs 2023,Round 3,0
Canada BP Champs 2023,Round 2,1
Canada BP Champs 2023,Round 1,9
Cardiff Open 2024,Round 1,2
Cardiff Open 2024,Round 2,0
Cardiff Open 2024,Round 3,9
Cardiff Open 2024,Round 4,-1
Cardiff Open 2024,Grand Final,4
Cardiff Open 2024,Silver Finals,6
Cardiff Open 2024,Pro-Am Finals,8
Cardiff Open 2025,Pro Am Finals,8
Cardiff Open 2025,Silver Finals,2
Cardiff Open 2025,Grand Final,9
Cardiff Open 2025,Round 4,2
Cardiff Open 2025,Round 3,4
Cardiff Open 2025,Round 2,6
Cardiff Open 2025,Round 1,7
Carleton BP Champs 2022,Novice Finals,6
Carleton BP Champs 2022,Grand Final,7
Carleton BP Champs 2022,Semifinals,2
Carleton BP Champs 2022,Novice Semis,8
Carleton BP Champs 2022,Round 5,2
Carleton BP Champs 2022,Round 4,9
Carleton BP Champs 2022,Round 3,1
Carleton BP Champs 2022,Round 2,4
Carleton BP Champs 2022,Round 1,3
Champagne IV 2023,ESL Finals,8
Champagne IV 2023,Grand Final,4
Champagne IV 2023,Semifinals,0
Champagne IV 2023,Round 5,6
Champagne IV 2023,Round 4,2
Champagne IV 2023,Round 3,2
Champagne IV 2023,Round 2,3
Champagne IV 2023,Round 1,9
Champagne IV 2024,Gran Final,5
Champagne IV 2024,Semifinals,3
Champagne IV 2024,Quarterfinals,6
Champagne IV 2024,Round 5,8
Champagne IV 2024,Round 4,0
Champagne IV 2024,Round 3,9
Champagne IV 2024,Round 2,8
Champagne IV 2024,Round 1,7
Chancellor’s Cup 2021,Open Grand Final,7
Chancellor’s Cup 2021,Open Semifinal,6
Chancellor’s Cup 2021,Round 5,9
Chancellor’s Cup 2021,Round 4,0
Chancellor’s Cup 2021,Round 3,8
Chancellor’s Cup 2021,Round 2,9
Chancellor’s Cup 2021,Round 1,9
Chancellor's Cup 2022,Grand Final,6
Chancellor's Cup 2022,Semifinals,7
Chancellor's Cup 2022,Novice Finals,3
Chancellor's Cup 2022,Round 5,7
Chancellor's Cup 2022,Round 4,3
Chancellor's Cup 2022,Round 3,0
Chancellor's Cup 2022,Round 2,9
Chancellor's Cup 2022,Round 1,8
Chancellor's Cup 2023,Novice Finals,8
Chancellor's Cup 2023,Grand Final,0
Chancellor's Cup 2023,Novice Semifinals,1
Chancellor's Cup 2023,Semifinals,2
Chancellor's Cup 2023,Round 5,2
Chancellor's Cup 2023,Round 4,2
Chancellor's Cup 2023,Round 3,4
Chancellor's Cup 2023,Round 2,5
Chancellor's Cup 2023,Round 1,9
Chancellor's Cup 2024,Grand Final,3
Chancellor's Cup 2024,Novice Finals,6
Chancellor's Cup 2024,Semifinals,9
Chancellor's Cup 2024,Novice Semifinals,7
Chancellor's Cup 2024,Round 5,8
Chancellor's Cup 2024,Round 4,6
Chancellor's Cup 2024,Round 3,3
Chancellor's Cup 2024,Round 2,9
Chancellor's Cup 2024,Round 1,2
Charity Fantasy Open (3) 2023,Bronze Finals,8
Charity Fantasy Open (3) 2023,Silver Finals,3
Charity Fantasy Open (3) 2023,Gold Final,3
Charity Fantasy Open (3) 2023,Round 4,8
Charity Fantasy Open (3) 2023,Round 3,8
Charity Fantasy Open (3) 2023,Round 2,3
Charity Fantasy Open (3) 2023,Round 1,8
Charity Fantasy Open 2021,Round 1,3
Charity Fantasy Open 2021,Round 2,8
Charity Fantasy Open 2021,Round 3,4
Charity Fantasy Open 2021,Round 4,8
Charity Fantasy Open 2021,Bronze Final,8
Charity Fantasy Open 2021,Silver Final,4
Charity Fantasy Open 2021,Gold Final,8
Chattagram BP 2024,Open Grand Finale,7
Chattagram BP 2024,High School Final,8
Chattagram BP 2024,Novice Final,8
Chattagram BP 2024,Open Semi Final,8
Chattagram BP 2024,Pre-Semi Final,4
Chattagram BP 2024,Round 5,0
Chattagram BP 2024,Round 4,7
Chattagram BP 2024,Round 3,9
Chattagram BP 2024,Round 2,5
Chattagram BP 2024,Round 1,9
Chicago Open 2022,ESL Finals,9
Chicago Open 2022,ESL Semifinals,6
Chicago Open 2022,Grand Final,3
Chicago Open 2022,Semifinals,9
Chicago Open 2022,Quarterfinals,6
Chicago Open 2022,Round 5,2
Chicago Open 2022,Round 4,0
Chicago Open 2022,Round 3,6
Chicago Open 2022,Round 2,9
Chicago Open 2022,Round 1,2
China BP 2021,High School Finals,6
China BP 2021,High School Semifinals,7
China BP 2021,High School Quarterfinals,9
China BP 2021,Grand Final,3
China BP 2021,Semifinals,0
China BP 2021,Quarterfinals,7
China BP 2021,Octofinals,9
China BP 2021,Round 6,7
China BP 2021,Round 5,3
China BP 2021,Round 4,6
China BP 2021,Round 3,5
China BP 2021,Round 2,9
China BP 2021,Round 1,5
CIDA Visayas IV 2023,High School Finals,4
CIDA Visayas IV 2023,High School Semifinals,0
CIDA Visayas IV 2023,High School Pre-Semifinals,8
CIDA Visayas IV 2023,Grand Final,-1
CIDA Visayas IV 2023,Semifinals,7
CIDA Visayas IV 2023,Quarterfinals,0
CIDA Visayas IV 2023,Pre-Quarterfinals,2
CIDA Visayas IV 2023,Round 4,2
CIDA Visayas IV 2023,Round 3,2
CIDA Visayas IV 2023,Round 2,5
CIDA Visayas IV 2023,Round 1,8
Colgate Open 2021,Round 1,2
Colgate Open 2021,Round 2,9
Colgate Open 2021,Round 3,8
Colgate Open 2021,Round 4,6
Colgate Open 2021,Round 5,6
Colgate Open 2021,Quarterfinals,5
Colgate Open 2021,Novice Final,3
Colgate Open 2021,Semifinals,7
Colgate Open 2021,Grand Final,3
Colgate Open 2023,Novice Finals,8
Colgate Open 2023,Grand Final,8
Colgate Open 2023,Semifinals,9
Colgate Open 2023,Round 5,0
Colgate Open 2023,Round 4,9
Colgate Open 2023,Round 3,7
Colgate Open 2023,Round 2,0
Colgate Open 2023,Round 1,2
Colgate Open 2024,Grand Final,8
Colgate Open 2024,Round 5,6
Colgate Open 2024,Round 4,4
Colgate Open 2024,Round 3,9
Colgate Open 2024,Round 2,2
Colgate Open 2024,Round 1,5
Copenhagen Open 2024,Novice Finals,8
Copenhagen Open 2024,ESL Finals,8
Copenhagen Open 2024,Grand Final,7
Copenhagen Open 2024,Semifinals,9
Copenhagen Open 2024,Quarterfinals,7
Copenhagen Open 2024,Round 5,7
Copenhagen Open 2024,Round 4,9
Copenhagen Open 2024,Round 3,8
Copenhagen Open 2024,Round 2,7
Copenhagen Open 2024,Round 1,5
Copenhagen Open 2025,ESL Finals,8
Copenhagen Open 2025,Grand Final,8
Copenhagen Open 2025,Semifinals,4
Copenhagen Open 2025,Quarterfinals,0
Copenhagen Open 2025,Round 5,0
Copenhagen Open 2025,Round 4,9
Copenhagen Open 2025,Round 3,2
Copenhagen Open 2025,Round 2,8
Copenhagen Open 2025,Round 1,0
Cornell IV 2022,Grand Finals,3
Cornell IV 2022,Novice Finals,8
Cornell IV 2022,Novice Semifinals,5
Cornell IV 2022,Quarterfinals,6
Cornell IV 2022,Round 5,7
Cornell IV 2022,Round 4,5
Cornell IV 2022,Round 3,7
Cornell IV 2022,Round 2,8
Cornell IV 2022,Round 1,6
Cornell Novice Nationals 2022,Grand Final,2
Cornell Novice Nationals 2022,ESL Finals,2
Cornell Novice Nationals 2022,Semifinals,9
Cornell Novice Nationals 2022,Quarterfinals,9
Cornell Novice Nationals 2022,Round 5,7
Cornell Novice Nationals 2022,Round 4,8
Cornell Novice Nationals 2022,Round 3,5
Cornell Novice Nationals 2022,Round 2,7
Cornell Novice Nationals 2022,Round 1,2
Cornell Novice Nats 2021,ESL Finals,6
Cornell Novice Nats 2021,Grand Final,0
Cornell Novice Nats 2021,Semifinals,9
